date,year,month,month_number,year_number,total_arr,total_customers,total_new_customers,total_churned_customers,monthly_revenue,total_cogs,total_compensation,total_marketing_expenses,total_sales_expenses,total_r_and_d_expenses,total_g_and_a_expenses,one_time_expenses,total_operating_expenses,total_headcount,gross_profit,gross_margin,ebitda,ebitda_margin,cash_flow,capital,burn_rate,runway_months,sales_marketing_expense,cac,arpu,monthly_margin_per_customer,customer_lifetime_months,ltv,ltv_cac_ratio,cumulative_cash_flow,profitable_month
2028-03-16,2028,3,40,4,36555825.243227124,378,11,1,3046318.770268927,517874.1909457176,721788.4485000002,447808.85922953225,359465.6148917334,335095.06472958194,144084.20000000004,0.0,2008242.187350848,44.382000000000005,2528444.5793232094,0.8300000000000001,520202.39197236137,0.17076426703907888,520202.39197236137,-1909894.3433647917,0.0,120.0,807274.4741212656,140040.8949111705,96708.53238948974,6689.006823606374,214.00000000000003,483542.66194744874,3.452867551683137,-7104597.01003146,True
2028-04-15,2028,4,41,4,37740096.18885425,394,17,1,3145008.015737854,534651.3626754351,721788.4485000002,462316.1783134645,371110.9458570667,345950.88173116394,144084.20000000004,0.0,2045250.6544016954,44.382000000000005,2610356.653062419,0.8300000000000001,565105.9986607237,0.1796834843767937,565105.9986607237,-1344788.344704068,0.0,120.0,833427.1241705313,75921.95682448447,95787.04616460469,6625.270693051825,214.00000000000003,478935.2308230235,6.308257200617478,-6539491.011370736,True
2028-05-15,2028,5,42,4,39617978.98185764,419,27,2,3301498.248488137,561254.7022429833,721788.4485000002,485320.2425277561,389576.7933216001,363164.807333695,144084.20000000004,0.0,2103934.4916830515,44.382000000000005,2740243.546245154,0.8300000000000001,636309.0545621025,0.1927334218194691,636309.0545621025,-708479.2901419655,0.0,120.0,874897.0358493562,45738.1569843846,94553.64912137862,6539.9607308953555,214.00000000000003,472768.2456068931,10.0,-5903181.956808634,True
2028-06-14,2028,6,43,4,41669730.363986455,447,30,2,3472477.5303322044,590321.1801564748,721788.4485000002,510454.1969588341,409752.34857920016,381972.52833654254,144084.20000000004,0.0,2168051.722374577,44.382000000000005,2882156.3501757295,0.83,714104.6278011524,0.20564701184195583,714104.6278011524,5625.337659186916,0.0,120.0,920206.5455380343,35520.68521024219,93220.87329750885,6447.777069744362,214.00000000000003,466104.36648754426,10.0,-5189077.329007482,True
2028-07-14,2028,7,44,4,43752428.41524069,477,32,2,3646035.7012700574,619826.0692159098,721788.4485000002,535967.2480866984,430232.21274986677,401063.9271397063,144084.20000000004,0.0,2233136.0364762717,44.382000000000005,3026209.6320541473,0.83,793073.5955778756,0.2175166840252324,793073.5955778756,798698.9332370625,0.0,120.0,966199.4608365651,31025.876878920848,91724.16858541025,6344.254993824209,214.00000000000003,458620.84292705124,10.0,-4396003.733429607,True
2028-08-13,2028,8,45,4,46515127.488433905,518,44,3,3876260.624036159,658964.306086147,721788.4485000002,569810.3117333153,457398.7536362667,426388.66864397743,144084.20000000004,0.0,2319470.38251356,44.382000000000005,3217296.317950012,0.8300000000000001,897825.9354364523,0.23162166389668362,897825.9354364523,1696524.8686735148,0.0,120.0,1027209.065369582,27486.93463909605,89797.54341396506,6210.996752799251,214.00000000000003,448987.7170698253,10.0,-3498177.7979931547,True
2028-09-12,2028,9,46,4,50334648.92181696,575,61,4,4194554.07681808,713074.1930590736,721788.4485000002,616599.4492922577,494957.38106453343,461400.94844998885,144084.20000000004,0.0,2438830.4273067806,44.382000000000005,3481479.883759006,0.83,1042649.4564522253,0.2485721812992246,1042649.4564522253,2739174.32512574,0.0,120.0,1111556.8303567911,22663.980704838967,87538.5198640295,6054.747623928706,214.00000000000003,437692.5993201475,10.0,-2455528.3415409294,True
2028-10-12,2028,10,47,4,54863255.53713899,642,73,6,4571937.961428249,777229.4534428024,721788.4485000002,672074.8803299526,539488.6794485333,502913.1757571074,144084.20000000004,0.0,2580349.384035594,44.382000000000005,3794708.5079854466,0.83,1214359.1239498528,0.2656114615279017,1214359.1239498528,3953533.4490755927,0.0,120.0,1211563.559778486,18822.07559272393,85456.78432576166,5910.760915865182,214.00000000000003,427283.9216288083,10.0,-1241169.2175910766,True
2028-11-11,2028,11,48,4,59202520.228772886,705,69,6,4933543.352397741,838702.3699076159,721788.4485000002,725230.8728024678,582158.1155829334,542689.7687637515,144084.20000000004,0.0,2715951.405649153,44.382000000000005,4094840.982490125,0.8300000000000001,1378889.576840972,0.27949274554784664,1378889.576840972,5332423.025916565,0.0,120.0,1307388.9883854012,17884.282652811224,83975.20599825941,5808.285081546276,214.00000000000003,419876.02999129705,10.0,137720.35924989544,True
2028-12-11,2028,12,49,5,62844994.003469035,705,1,1,5237082.833622419,890304.0817158114,916295.7728925002,714861.8067894604,617975.7743674455,576079.1116984661,174164.12,0.0,2999376.5857478725,54.0852,4346778.751906608,0.8300000000000001,1347402.1661587358,0.2572810491956179,1347402.1661587358,6679825.192075301,0.0,120.0,1332837.5811569057,26935.595309935616,89141.83546591352,6165.643619725685,214.00000000000003,445709.1773295676,10.0,1485122.5254086312,True
2029-01-10,2029,1,50,5,62877178.53935948,707,3,1,5239764.878279957,890760.0293075927,916295.7728925002,715227.9058852141,618292.255637035,576374.1366107953,174164.12,0.0,3000354.1910255444,54.0852,4349004.848972364,0.83,1348650.65794682,0.25738762888718353,1348650.65794682,8028475.85002212,0.0,120.0,1333520.1615222492,54434.886726911725,88935.18888169658,6151.350564317346,131.43835616438358,444675.9444084829,8.16895140499378,2833773.183355451,True
